season,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,award_share,mov,mov_adj,win_loss_pct
1982,Julius Erving,SF,31,PHI,81,81,34.4,9.6,17.6,0.546,0,0.1,0.273,9.6,17.5,0.548,0.547,5.1,6.7,0.763,2.7,4.2,6.9,3.9,2,1.7,2.6,2.8,24.4,2789,25.9,0.593,0.008,0.377,9.3,13,11.2,18.1,2.8,2.9,11.4,28.1,8.7,4.6,13.3,0.229,6,1.7,7.7,6.8,0.294,5.73,5.74,0.707
1982,Mike Evans,PG,26,TOT,22,0,12.3,1.6,3.9,0.407,0,0.3,0,1.6,3.6,0.438,0.407,0.6,0.9,0.65,0.2,0.8,1,1.9,0.6,0,1.2,1.6,3.8,270,7.3,0.438,0.07,0.233,2.1,7.2,4.6,21,2.3,0,21.5,18.4,-0.4,0.3,-0.1,-0.013,-4.1,0.1,-4,-0.2,0,0,0,0.5
1982,Eric Fernsten,C,28,BOS,43,0,4.7,0.4,1.1,0.388,0,0,,0.4,1.1,0.388,0.388,0.4,0.7,0.633,0.3,0.7,1,0.2,0.1,0.2,0.3,0.5,1.3,202,8.1,0.458,0,0.612,6.7,16,11.5,4.8,1.2,1.9,17.3,14.9,-0.1,0.3,0.2,0.047,-3.6,0.4,-3.2,0,0,6.38,6.35,0.768
1982,Chris Ford,SG,33,BOS,76,53,20.9,2.5,5.9,0.418,0.3,0.8,0.317,2.2,5.1,0.434,0.44,0.5,0.7,0.696,0.7,0.7,1.4,1.9,0.6,0.1,0.7,1.9,5.7,1591,7.8,0.458,0.14,0.124,3.7,3.8,3.7,11.1,1.2,0.3,9.9,13.3,0.7,1.4,2.1,0.063,-2.2,0.2,-2,0,0,6.38,6.35,0.768
1982,Don Ford,SF,29,CLE,21,1,9.6,0.4,1.1,0.375,0,0,0,0.4,1.1,0.391,0.375,0.2,0.3,0.833,0.7,1,1.7,0.5,0.4,0,0.7,1.4,1.1,201,3.7,0.432,0.042,0.25,7.4,12.6,9.8,6.7,1.9,0,36,8.5,-0.2,0.1,-0.1,-0.035,-4.8,0,-4.8,-0.2,0,-8.51,-7.77,0.183
1982,Phil Ford,PG,25,KCK,72,65,27.1,4,9,0.439,0.1,0.4,0.219,3.9,8.6,0.451,0.445,1.9,2.3,0.819,0.3,1.1,1.5,6.3,0.9,0,2.7,2.2,9.9,1952,11.4,0.494,0.049,0.256,1.3,4.8,3,30.4,1.5,0,21.2,19.2,-0.2,1.1,0.9,0.021,-1,-2,-3,-0.5,0,-3.1,-3.25,0.366
1982,World B. Free,SG,28,GSW,78,78,35.8,8.3,18.6,0.448,0.1,0.7,0.179,8.2,17.9,0.458,0.451,6.1,8.3,0.74,1.5,1.7,3.2,5.4,0.9,0.1,2.7,2.8,22.9,2796,18.2,0.515,0.039,0.446,4.5,5.2,4.8,21.7,1.2,0.2,10.7,28,5.6,1.3,6.9,0.118,2.4,-1.9,0.5,1.8,0,1.04,0.8,0.549
1982,Mike Gale,PG,31,GSW,75,70,23.9,2.5,5,0.496,0,0.1,0,2.5,4.9,0.503,0.496,0.7,0.9,0.785,0.5,2,2.5,3.5,1.6,0.4,1.7,2.3,5.6,1793,10.9,0.524,0.013,0.174,2.2,9.4,5.7,17.8,3.2,0.9,23.9,11.9,0.3,2.1,2.4,0.063,-2,2.3,0.4,1.1,0,1.04,0.8,0.549
1982,Calvin Garrett,SF,25,HOU,51,22,16.8,2.1,4.7,0.434,0.1,0.2,0.3,2,4.5,0.44,0.44,0.3,0.5,0.654,0.5,1.3,1.8,1.5,0.6,0.1,0.7,1.8,4.5,858,8.4,0.454,0.041,0.107,3.4,8.9,6.1,11.6,1.8,0.4,13,13.9,0,0.6,0.6,0.035,-3.3,0.4,-3,-0.2,0,-0.04,-0.39,0.561
1982,George Gervin,SG,29,SAS,79,79,35.7,12.6,25.2,0.5,0.1,0.5,0.278,12.4,24.7,0.504,0.502,7,8.1,0.864,1.7,3.2,5,2.4,1,0.6,2.7,2.7,32.3,2817,24.2,0.562,0.018,0.323,5.2,9.7,7.5,11.4,1.3,0.9,8.5,35,8.7,2,10.7,0.182,5.4,-1.5,3.9,4.2,0.159,2.3,1.79,0.585
1982,Artis Gilmore,C,32,CHI,82,82,34.1,6.7,10.2,0.652,0,0,1,6.6,10.2,0.652,0.653,5.2,6.7,0.768,2.7,7.5,10.2,1.7,0.6,2.7,2.8,3.5,18.5,2796,22.4,0.702,0.001,0.659,9.5,23.7,16.9,7.5,0.8,4.3,17.4,19.6,8.3,3.8,12.1,0.208,3,1.3,4.3,4.4,0,-2.02,-1.57,0.415
1982,Mike Glenn,SG,26,ATL,49,0,17,3.2,5.9,0.543,0,0,0.5,3.2,5.9,0.543,0.545,1.2,1.4,0.881,0.1,1.1,1.2,1.8,0.5,0.1,0.6,1.6,7.7,833,16,0.587,0.007,0.23,0.7,7.6,4.1,16.9,1.6,0.2,7.8,18.1,2,0.8,2.8,0.161,0.7,0.9,1.6,0.8,0,0.54,0.81,0.512
1982,Mike Gminski,C,22,NJN,64,6,11.6,1.9,4.2,0.441,0,0,,1.9,4.2,0.441,0.441,1.5,1.8,0.822,1.1,1.8,2.9,0.6,0.3,0.8,0.9,1.1,5.2,740,15.3,0.52,0,0.437,10.6,17.9,14.2,7.7,1.1,3.8,14.8,20.4,0.6,1.2,1.8,0.119,-0.6,0.7,0.1,0.4,0,0.68,0.87,0.537
1982,Glen Gondrezick,SF,26,DEN,80,0,21.2,3.1,6.2,0.505,0,0,0,3.1,6.2,0.508,0.505,2,2.7,0.737,1.8,3.5,5.3,1.9,1.2,0.5,1.3,2.9,8.3,1699,14.9,0.559,0.006,0.438,9.1,17.4,13.3,10.4,2.4,1.1,14.5,15.4,2.6,1,3.6,0.102,0.5,0,0.4,1,0,0.52,0.13,0.561
1982,Rickey Green,PG,27,UTA,81,73,34.8,6.2,12.5,0.493,0,0.1,0,6.2,12.4,0.497,0.493,2.5,3.3,0.765,1,2,3,7.8,2.3,0.1,2.4,2.3,14.8,2822,17.4,0.531,0.008,0.26,3.2,6.1,4.6,29.7,3,0.2,14.9,18.8,4.3,1.4,5.7,0.096,1.8,-0.3,1.4,2.4,0,-5.66,-5.63,0.305
1982,Dave Greenwood,PF,24,CHI,82,82,35.5,5.9,12.4,0.473,0,0,0,5.9,12.3,0.475,0.473,2.9,3.5,0.825,2.3,7.2,9.6,3.2,0.9,1.1,2.2,3.6,14.6,2914,15.5,0.525,0.003,0.287,7.8,22.2,15.3,13.2,1.2,1.8,13.6,19,3.2,3.2,6.5,0.107,0.1,0.5,0.6,1.9,0,-2.02,-1.57,0.415
