season,team_id,fg2_pct,ws_per_48,vorp,ws,dws,ows,fg2_pct_rank,ws_per_48_rank,vorp_rank,ws_rank,dws_rank,ows_rank
2019,TOR,0.47978571428571426,0.12042857142857143,1.05,3.3785714285714286,1.5857142857142856,1.7785714285714285,25,5,4,3,8,6
2019,GSW,0.5451764705882354,0.1223529411764706,1.0,3.341176470588235,1.3058823529411765,2.0352941176470587,3,4,5,4,11,3
2020,LAL,0.5591875000000001,0.1174375,0.925,2.90625,1.56875,1.34375,3,5,3,5,3,9
2020,MIA,0.5005294117647059,0.07111764705882354,0.6588235294117647,2.4647058823529413,1.1117647058823528,1.3411764705882354,20,17,10,9,11,10
2021,MIL,0.5002666666666667,0.08833333333333333,0.94,3.0,1.1933333333333331,1.7933333333333334,21,11,5,5,7,6
2021,PHO,0.5262666666666667,0.10300000000000001,0.94,3.1599999999999997,1.2600000000000002,1.8866666666666667,9,5,4,2,6,5
2022,GSW,0.55775,0.1250625,1.03125,3.45,2.00625,1.45625,5,1,3,1,1,10
2022,BOS,0.6044615384615385,0.12046666666666667,1.1333333333333333,3.3,1.6866666666666668,1.5866666666666667,1,3,1,4,2,6
